model,trial,best_fitness
GA,1,0.577044
GA,2,0.576044
GA,3,0.584019
GA,4,0.580044
GA,5,0.584019
GA,6,0.582019
GA,7,0.581044
GA,8,0.582019
GA,9,0.578044
GA,10,0.583019
HGS,1,0.564094
HGS,2,0.53621
HGS,3,0.53621
HGS,4,0.568094
HGS,5,0.569094
HGS,6,0.591978
HGS,7,0.562119
HGS,8,0.579044
HGS,9,0.554119
HGS,10,0.567094
ARO,1,0.593978
ARO,2,0.6009530000000001
ARO,3,0.591978
ARO,4,0.6029530000000001
ARO,5,0.593978
ARO,6,0.6039530000000001
ARO,7,0.587019
ARO,8,0.5880029999999999
ARO,9,0.588019
ARO,10,0.580044
EFO,1,0.568069
EFO,2,0.5451440000000001
EFO,3,0.5501440000000001
EFO,4,0.569069
EFO,5,0.566094
EFO,6,0.560094
EFO,7,0.573069
EFO,8,0.570069
EFO,9,0.563069
EFO,10,0.556119
TLO,1,0.596928
TLO,2,0.607928
TLO,3,0.5890029999999999
TLO,4,0.585978
TLO,5,0.607928
TLO,6,0.594978
TLO,7,0.586978
TLO,8,0.5949530000000001
TLO,9,0.5939530000000001
TLO,10,0.586978
SMA,1,0.569094
SMA,2,0.558094
SMA,3,0.5481600000000001
SMA,4,0.570094
SMA,5,0.566094
SMA,6,0.569094
SMA,7,0.568094
SMA,8,0.563119
SMA,9,0.562119
SMA,10,0.563119
AAEO,1,0.569069
AAEO,2,0.573069
AAEO,3,0.578019
AAEO,4,0.559119
AAEO,5,0.576069
AAEO,6,0.5870029999999999
AAEO,7,0.581044
AAEO,8,0.566094
AAEO,9,0.562119
AAEO,10,0.5830029999999999
RUN,1,0.595978
RUN,2,0.588978
RUN,3,0.594978
RUN,4,0.579019
RUN,5,0.5850029999999999
RUN,6,0.5900029999999999
RUN,7,0.6009530000000001
RUN,8,0.595978
RUN,9,0.5870029999999999
RUN,10,0.589978
