Index,model,trial,AS_train,PS_train,RS_train,AS_test,PS_test,RS_test
0,GA,trial1,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
1,HGS,trial1,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
2,ARO,trial1,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
3,EFO,trial1,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
4,TLO,trial1,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
5,SMA,trial1,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
6,AAEO,trial1,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
7,RUN,trial1,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
8,GA,trial2,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
9,HGS,trial2,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
10,ARO,trial2,0.95154,0.95145,0.95154,0.91228,0.91225,0.91228
11,EFO,trial2,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
12,TLO,trial2,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
13,SMA,trial2,0.95154,0.95144,0.95154,0.94737,0.95169,0.94737
14,AAEO,trial2,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
15,RUN,trial2,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
16,GA,trial3,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
17,HGS,trial3,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
18,ARO,trial3,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
19,EFO,trial3,0.92952,0.92928,0.92952,0.89474,0.90049,0.89474
20,TLO,trial3,0.94934,0.95051,0.94934,0.92982,0.93731,0.92982
21,SMA,trial3,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
22,AAEO,trial3,0.95154,0.9515,0.95154,0.9386,0.93928,0.9386
23,RUN,trial3,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
24,GA,trial4,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
25,HGS,trial4,0.93833,0.93826,0.93833,0.88596,0.89324,0.88596
26,ARO,trial4,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
27,EFO,trial4,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
28,TLO,trial4,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
29,SMA,trial4,0.94934,0.95051,0.94934,0.92982,0.93731,0.92982
30,AAEO,trial4,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
31,RUN,trial4,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
32,GA,trial5,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
33,HGS,trial5,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
34,ARO,trial5,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
35,EFO,trial5,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
36,TLO,trial5,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
37,SMA,trial5,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
38,AAEO,trial5,0.94934,0.95051,0.94934,0.92982,0.93731,0.92982
39,RUN,trial5,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
40,GA,trial6,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
41,HGS,trial6,0.94934,0.95051,0.94934,0.92982,0.93731,0.92982
42,ARO,trial6,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
43,EFO,trial6,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
44,TLO,trial6,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
45,SMA,trial6,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
46,AAEO,trial6,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
47,RUN,trial6,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
48,GA,trial7,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
49,HGS,trial7,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
50,ARO,trial7,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
51,EFO,trial7,0.93833,0.93826,0.93833,0.88596,0.89324,0.88596
52,TLO,trial7,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
53,SMA,trial7,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
54,AAEO,trial7,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
55,RUN,trial7,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
56,GA,trial8,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
57,HGS,trial8,0.94934,0.95051,0.94934,0.92982,0.93731,0.92982
58,ARO,trial8,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
59,EFO,trial8,0.93833,0.93826,0.93833,0.88596,0.89324,0.88596
60,TLO,trial8,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
61,SMA,trial8,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
62,AAEO,trial8,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
63,RUN,trial8,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
64,GA,trial9,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
65,HGS,trial9,0.93392,0.93396,0.93392,0.92982,0.93359,0.92982
