,AAEO,ARO,EFO,GA,HGS,RUN,SMA,TLO
Arrhythmia,0.7310254623655914,0.7575876164874552,0.7143566200716847,0.7501576706058696,0.7417804623655914,0.757086770609319,0.7297458853046596,0.7570085448028674
BreastEW,0.8235046666666667,0.8301713333333333,0.818945,0.8301713333333333,0.8222783333333333,0.8301713333333333,0.8301713333333333,0.8301713333333333
Digits,0.8682179999999999,0.875204,0.8636045,0.8736055,0.8685670000000001,0.8747969999999999,0.858552,0.875724
Ionosphere,0.8368092941176472,0.8625222941176471,0.8437789411764706,0.8625222941176471,0.8338681176470589,0.8595811176470589,0.8268894705882354,0.8625222941176471
Madelon,0.7774420000000001,0.797614,0.713921,0.761858,0.7816350000000001,0.790821,0.7599349999999999,0.784093
WaveformEW,0.7664310000000001,0.779386,0.762032,0.77706,0.770713,0.779386,0.7437830000000001,0.783623
gauss5012,81.61803,78.50487,89.19099000000001,81.40230000000001,81.95227000000001,79.9098,78.25154,78.50487
gauss7517,120.16186,120.16186,140.59379,123.75178,122.13239333333335,118.95343,117.99957666666668,117.40776
