,AAEO,ARO,EFO,GA,HGS,RUN,SMA,TLO
Arrhythmia,0.7480550856630824,0.7666481014336918,0.7321044186379928,0.757082734149428,0.7486543089605735,0.7628732322580645,0.7367570620071684,0.7641381813620072
BreastEW,0.8323312333333334,0.8371923666666667,0.8266807999999999,0.8310850666666667,0.8331214333333333,0.8413868333333333,0.8357355,0.8401406666666666
Digits,0.8708875,0.8761521999999999,0.8704050000000001,0.8742864499999999,0.8723069500000001,0.8758027500000001,0.86213385,0.87669055
Ionosphere,0.8511675529411764,0.8625222941176471,0.8511666529411765,0.8629251411764706,0.8536310235294119,0.8627397529411767,0.8427228176470589,0.8645365294117647
Madelon,0.7926221,0.8012284000000001,0.7383563,0.7645128,0.7914628,0.8017255999999999,0.7713468,0.7919093
WaveformEW,0.7713667000000001,0.7813828,0.7679452,0.7796702,0.7762228999999999,0.7818892,0.7522692,0.783623
gauss5012,84.133673,81.190648,95.769052,81.96282500000001,84.18767700000001,81.701074,81.312053,79.35036099999999
gauss7517,127.71343533333334,122.05400633333333,150.80558933333333,128.4667543333333,125.59127466666666,121.62837433333334,121.700844,123.15595233333333
