,AAEO,ARO,EFO,GA,HGS,RUN,SMA,TLO
Arrhythmia,0.7628811935483872,0.7752651935483872,0.7481353870967742,0.7618285447317992,0.7588444623655914,0.7720945017921147,0.7545318853046595,0.7797200035842294
BreastEW,0.8426330000000001,0.8426330000000001,0.8301713333333333,0.8380733333333333,0.8426330000000001,0.8426330000000001,0.8426330000000001,0.8426330000000001
Digits,0.8747305,0.87731,0.8735695,0.8748115000000001,0.87731,0.87731,0.8658024999999999,0.87731
Ionosphere,0.8625222941176471,0.8625222941176471,0.8625222941176471,0.8665507647058823,0.8665507647058823,0.8665507647058823,0.8526024705882354,0.8665507647058823
Madelon,0.802607,0.805,0.7554,0.768642,0.8000790000000001,0.8093929999999999,0.777242,0.800335
WaveformEW,0.777665,0.783623,0.774853,0.783623,0.783623,0.783623,0.764539,0.783623
gauss5012,89.05082,82.20586999999999,101.77488,82.20586999999999,88.64041999999999,87.49002,83.55300000000001,80.56187
gauss7517,136.4432866666667,124.29429,162.78791333333336,131.24341333333334,130.42254,127.93399666666669,124.21234333333334,129.46598333333336
