model,trial,best_fitness
GA,1,0.781254
GA,2,0.77706
GA,3,0.77778
GA,4,0.779402
GA,5,0.779305
GA,6,0.781254
GA,7,0.7794310000000001
GA,8,0.783623
GA,9,0.778162
GA,10,0.7794310000000001
HGS,1,0.781254
HGS,2,0.7752260000000001
HGS,3,0.775743
HGS,4,0.770713
HGS,5,0.774038
HGS,6,0.783623
HGS,7,0.774853
HGS,8,0.7799170000000001
HGS,9,0.7761129999999999
HGS,10,0.770749
ARO,1,0.7799170000000001
ARO,2,0.781254
ARO,3,0.779386
ARO,4,0.783623
ARO,5,0.783623
ARO,6,0.779386
ARO,7,0.7794310000000001
ARO,8,0.783623
ARO,9,0.783623
ARO,10,0.779962
EFO,1,0.763432
EFO,2,0.762856
EFO,3,0.7712640000000001
EFO,4,0.762032
EFO,5,0.7680870000000001
EFO,6,0.7674390000000001
EFO,7,0.769641
EFO,8,0.767484
EFO,9,0.7723639999999999
EFO,10,0.774853
TLO,1,0.783623
TLO,2,0.783623
TLO,3,0.783623
TLO,4,0.783623
TLO,5,0.783623
TLO,6,0.783623
TLO,7,0.783623
TLO,8,0.783623
TLO,9,0.783623
TLO,10,0.783623
SMA,1,0.7480220000000001
SMA,2,0.764539
SMA,3,0.751869
SMA,4,0.7521260000000001
SMA,5,0.7437830000000001
SMA,6,0.7578460000000001
SMA,7,0.747435
SMA,8,0.7470030000000001
SMA,9,0.7558229999999999
SMA,10,0.7542460000000001
AAEO,1,0.773381
AAEO,2,0.7705890000000001
AAEO,3,0.777665
AAEO,4,0.768661
AAEO,5,0.7664310000000001
AAEO,6,0.7733610000000001
AAEO,7,0.7674160000000001
AAEO,8,0.7700400000000001
AAEO,9,0.773984
AAEO,10,0.772139
RUN,1,0.783623
RUN,2,0.7799170000000001
RUN,3,0.783623
RUN,4,0.783623
RUN,5,0.779386
RUN,6,0.782126
RUN,7,0.783623
RUN,8,0.779962
RUN,9,0.779386
RUN,10,0.783623
