model,trial,best_fitness
GA,1,0.7618285447317992
GA,2,0.7547249766145924
GA,3,0.7596131430537709
GA,4,0.7577915626746988
GA,5,0.7572112933099175
GA,6,0.7601689995375117
GA,7,0.7549304565264585
GA,8,0.7501576706058696
GA,9,0.7530799356215373
GA,10,0.7613207588181232
HGS,1,0.742848770609319
HGS,2,0.7437402329749104
HGS,3,0.7512441935483872
HGS,4,0.7417804623655914
HGS,5,0.7500953476702509
HGS,6,0.7588444623655914
HGS,7,0.7507523476702509
HGS,8,0.7468971935483872
HGS,9,0.7503320394265233
HGS,10,0.7500080394265234
ARO,1,0.7749549247311829
ARO,2,0.7593981935483871
ARO,3,0.7752651935483872
ARO,4,0.7620770394265233
ARO,5,0.7684780788530465
ARO,6,0.7603056164874552
ARO,7,0.7667595412186381
ARO,8,0.769769347670251
ARO,9,0.7718854623655914
ARO,10,0.7575876164874552
EFO,1,0.7336861182795699
EFO,2,0.7310140430107527
EFO,3,0.7246888100358423
EFO,4,0.7431244265232975
EFO,5,0.7260741577060931
EFO,6,0.7143566200716847
EFO,7,0.7481353870967742
EFO,8,0.7332196953405018
EFO,9,0.7284269641577061
EFO,10,0.7383179641577061
TLO,1,0.7649948888888889
TLO,2,0.7592074265232974
TLO,3,0.7666974659498208
TLO,4,0.7797200035842294
TLO,5,0.7639816953405018
TLO,6,0.7585686989247312
TLO,7,0.7571993118279571
TLO,8,0.7739255806451614
TLO,9,0.7600781971326165
TLO,10,0.7570085448028674
SMA,1,0.7325327311827956
SMA,2,0.7545318853046595
SMA,3,0.7362227311827957
SMA,4,0.7350003082437276
SMA,5,0.7338377311827957
SMA,6,0.7384007311827957
SMA,7,0.7297458853046596
SMA,8,0.7370957311827957
SMA,9,0.7323167311827957
SMA,10,0.7378861541218638
AAEO,1,0.7532660394265233
AAEO,2,0.7527604623655914
AAEO,3,0.7425454623655914
AAEO,4,0.7556049247311828
AAEO,5,0.7456610394265233
AAEO,6,0.7462010394265233
AAEO,7,0.7434094623655914
AAEO,8,0.7471957706093191
AAEO,9,0.7310254623655914
AAEO,10,0.7628811935483872
RUN,1,0.766511347670251
RUN,2,0.763460347670251
RUN,3,0.7624057706093189
RUN,4,0.7626100788530465
RUN,5,0.7624883476702509
RUN,6,0.758499770609319
RUN,7,0.7585596164874552
RUN,8,0.7650157706093189
RUN,9,0.757086770609319
RUN,10,0.7720945017921147
