model,trial,best_fitness
GA,1,0.762521
GA,2,0.767842
GA,3,0.763858
GA,4,0.761858
GA,5,0.768642
GA,6,0.7621209999999999
GA,7,0.762921
GA,8,0.767186
GA,9,0.7654580000000001
GA,10,0.762721
HGS,1,0.791821
HGS,2,0.7912210000000001
HGS,3,0.7884930000000001
HGS,4,0.7863
HGS,5,0.7914930000000001
HGS,6,0.795686
HGS,7,0.8000790000000001
HGS,8,0.788821
HGS,9,0.7816350000000001
HGS,10,0.7990790000000001
ARO,1,0.804535
ARO,2,0.797614
ARO,3,0.805
ARO,4,0.798014
ARO,5,0.800479
ARO,6,0.8010790000000001
ARO,7,0.803935
ARO,8,0.797814
ARO,9,0.802535
ARO,10,0.8012790000000001
EFO,1,0.732893
EFO,2,0.7554
EFO,3,0.7527349999999999
EFO,4,0.713921
EFO,5,0.740621
EFO,6,0.7343
EFO,7,0.727707
EFO,8,0.742814
EFO,9,0.749207
EFO,10,0.733965
TLO,1,0.800335
TLO,2,0.784093
TLO,3,0.787358
TLO,4,0.798535
TLO,5,0.7960069999999999
TLO,6,0.786765
TLO,7,0.793014
TLO,8,0.7902210000000001
TLO,9,0.789886
TLO,10,0.7928790000000001
SMA,1,0.776114
SMA,2,0.770921
SMA,3,0.764928
SMA,4,0.774914
SMA,5,0.7599349999999999
SMA,6,0.7724580000000001
SMA,7,0.775914
SMA,8,0.777242
SMA,9,0.7703209999999999
SMA,10,0.770721
AAEO,1,0.7908930000000001
AAEO,2,0.7908930000000001
AAEO,3,0.792558
AAEO,4,0.7894930000000001
AAEO,5,0.795886
AAEO,6,0.7774420000000001
AAEO,7,0.791421
AAEO,8,0.802607
AAEO,9,0.7974140000000001
AAEO,10,0.797614
RUN,1,0.8066000000000001
RUN,2,0.8092650000000001
RUN,3,0.794614
RUN,4,0.802607
RUN,5,0.8018069999999999
RUN,6,0.8093929999999999
RUN,7,0.802607
RUN,8,0.790821
RUN,9,0.800135
RUN,10,0.799407
