Index,model,trial,AS_train,PS_train,RS_train,AS_test,PS_test,RS_test
0,GA,trial1,0.90337,0.90337,0.90337,0.84231,0.84233,0.84231
1,HGS,trial1,0.91442,0.91461,0.91442,0.87692,0.87773,0.87692
2,ARO,trial1,0.925,0.925,0.925,0.875,0.87501,0.875
3,EFO,trial1,0.89423,0.89423,0.89423,0.84231,0.84263,0.84231
4,TLO,trial1,0.91346,0.91356,0.91346,0.87308,0.87343,0.87308
5,SMA,trial1,0.91202,0.91222,0.91202,0.86346,0.8636,0.86346
6,AAEO,trial1,0.92163,0.92165,0.92163,0.89423,0.89494,0.89423
7,RUN,trial1,0.92067,0.9207,0.92067,0.87885,0.8793,0.87885
8,GA,trial2,0.8976,0.89791,0.8976,0.82885,0.82889,0.82885
9,HGS,trial2,0.90433,0.90433,0.90433,0.86346,0.86351,0.86346
10,ARO,trial2,0.92404,0.92417,0.92404,0.89231,0.89289,0.89231
11,EFO,trial2,0.90337,0.90347,0.90337,0.83269,0.83309,0.83269
12,TLO,trial2,0.91971,0.91992,0.91971,0.83846,0.83848,0.83846
13,SMA,trial2,0.91442,0.91446,0.91442,0.86346,0.86351,0.86346
14,AAEO,trial2,0.92067,0.92081,0.92067,0.88654,0.88668,0.88654
15,RUN,trial2,0.92596,0.92602,0.92596,0.875,0.87505,0.875
16,GA,trial3,0.91971,0.91972,0.91971,0.85962,0.85988,0.85962
17,HGS,trial3,0.91587,0.91607,0.91587,0.89038,0.89085,0.89038
18,ARO,trial3,0.92067,0.92079,0.92067,0.87692,0.87712,0.87692
19,EFO,trial3,0.89856,0.89896,0.89856,0.83462,0.83464,0.83462
20,TLO,trial3,0.91298,0.91312,0.91298,0.86923,0.86925,0.86923
21,SMA,trial3,0.91346,0.91348,0.91346,0.875,0.87505,0.875
22,AAEO,trial3,0.9101,0.91018,0.9101,0.86346,0.86347,0.86346
23,RUN,trial3,0.91154,0.91155,0.91154,0.88269,0.88283,0.88269
24,GA,trial4,0.9024,0.90254,0.9024,0.81538,0.81555,0.81538
25,HGS,trial4,0.92452,0.92459,0.92452,0.88846,0.88929,0.88846
26,ARO,trial4,0.92115,0.92131,0.92115,0.89231,0.8924,0.89231
27,EFO,trial4,0.88654,0.88665,0.88654,0.79231,0.79246,0.79231
28,TLO,trial4,0.92308,0.92312,0.92308,0.85769,0.85771,0.85769
29,SMA,trial4,0.91106,0.9113,0.91106,0.86923,0.86925,0.86923
30,AAEO,trial4,0.89663,0.89683,0.89663,0.86346,0.86411,0.86346
31,RUN,trial4,0.9101,0.91023,0.9101,0.85962,0.85988,0.85962
32,GA,trial5,0.90433,0.90496,0.90433,0.83846,0.83854,0.83846
33,HGS,trial5,0.92548,0.92581,0.92548,0.89615,0.89625,0.89615
34,ARO,trial5,0.92356,0.92361,0.92356,0.9,0.90038,0.9
35,EFO,trial5,0.90481,0.90483,0.90481,0.82692,0.82692,0.82692
36,TLO,trial5,0.92067,0.92072,0.92067,0.875,0.87527,0.875
37,SMA,trial5,0.91731,0.91749,0.91731,0.91346,0.91484,0.91346
38,AAEO,trial5,0.91442,0.91452,0.91442,0.88077,0.88352,0.88077
39,RUN,trial5,0.91779,0.91816,0.91779,0.87692,0.87712,0.87692
40,GA,trial6,0.90673,0.90677,0.90673,0.84808,0.84895,0.84808
41,HGS,trial6,0.91875,0.91886,0.91875,0.89038,0.89108,0.89038
42,ARO,trial6,0.92548,0.92557,0.92548,0.89423,0.89494,0.89423
43,EFO,trial6,0.9,0.90001,0.9,0.84808,0.84849,0.84808
44,TLO,trial6,0.92452,0.92459,0.92452,0.88269,0.88283,0.88269
45,SMA,trial6,0.91394,0.91397,0.91394,0.87885,0.87953,0.87885
46,AAEO,trial6,0.91346,0.91372,0.91346,0.86923,0.8703,0.86923
47,RUN,trial6,0.92115,0.92155,0.92115,0.87308,0.87308,0.87308
48,GA,trial7,0.89663,0.89708,0.89663,0.85577,0.85577,0.85577
49,HGS,trial7,0.91635,0.91669,0.91635,0.87115,0.8712,0.87115
50,ARO,trial7,0.92115,0.9215,0.92115,0.89231,0.89289,0.89231
51,EFO,trial7,0.87692,0.87696,0.87692,0.79231,0.79232,0.79231
52,TLO,trial7,0.92019,0.92054,0.92019,0.86346,0.86347,0.86346
53,SMA,trial7,0.91779,0.9179,0.91779,0.88077,0.88086,0.88077
54,AAEO,trial7,0.92308,0.92318,0.92308,0.89038,0.89039,0.89038
55,RUN,trial7,0.92115,0.92138,0.92115,0.87692,0.87728,0.87692
56,GA,trial8,0.90096,0.90114,0.90096,0.86538,0.86573,0.86538
57,HGS,trial8,0.90673,0.90703,0.90673,0.86154,0.86156,0.86154
58,ARO,trial8,0.93125,0.93127,0.93125,0.90385,0.90502,0.90385
59,EFO,trial8,0.90192,0.902,0.90192,0.82308,0.8231,0.82308
60,TLO,trial8,0.92163,0.92201,0.92163,0.88846,0.88848,0.88846
