model,trial,best_fitness
GA,1,0.874302
GA,2,0.874086
GA,3,0.874221
GA,4,0.8746695000000001
GA,5,0.873737
GA,6,0.8748115000000001
GA,7,0.8736055
GA,8,0.874637
GA,9,0.8741185
GA,10,0.8746765
HGS,1,0.8735930000000001
HGS,2,0.8721115
HGS,3,0.8731555
HGS,4,0.868731
HGS,5,0.8728315
HGS,6,0.8728855
HGS,7,0.871926
HGS,8,0.87731
HGS,9,0.8685670000000001
HGS,10,0.8719585000000001
ARO,1,0.8762875
ARO,2,0.8758429999999999
ARO,3,0.87731
ARO,4,0.87731
ARO,5,0.8756485
ARO,6,0.875861
ARO,7,0.875618
ARO,8,0.8761615
ARO,9,0.875204
ARO,10,0.8762785
EFO,1,0.870684
EFO,2,0.869444
EFO,3,0.8636045
EFO,4,0.866679
EFO,5,0.872711
EFO,6,0.8718755
EFO,7,0.8732455
EFO,8,0.8727485
EFO,9,0.8735695
EFO,10,0.8694885
TLO,1,0.875724
TLO,2,0.8757744999999999
TLO,3,0.8767465
TLO,4,0.8767735
TLO,5,0.8758735
TLO,6,0.87731
TLO,7,0.87731
TLO,8,0.8767735
TLO,9,0.87731
TLO,10,0.87731
SMA,1,0.864312
SMA,2,0.860521
SMA,3,0.8605465
SMA,4,0.8637395000000001
SMA,5,0.8657935
SMA,6,0.8588095
SMA,7,0.858552
SMA,8,0.8658024999999999
SMA,9,0.8628305000000001
SMA,10,0.8604315
AAEO,1,0.8703925
AAEO,2,0.873692
AAEO,3,0.8705725000000001
AAEO,4,0.8715860000000001
AAEO,5,0.8689199999999999
AAEO,6,0.8682179999999999
AAEO,7,0.869775
AAEO,8,0.8702270000000001
AAEO,9,0.8747305
AAEO,10,0.8707615
RUN,1,0.8762875
RUN,2,0.8752199999999999
RUN,3,0.8749105
RUN,4,0.87731
RUN,5,0.8762335
RUN,6,0.8747969999999999
RUN,7,0.8751265
RUN,8,0.8756665
RUN,9,0.87731
RUN,10,0.875166
