GA,HGS,ARO,EFO,TLO,SMA,AAEO,RUN
58.47073,58.006209999999996,58.47073,62.89891,58.42373,60.127880000000005,59.83843,58.35389
58.35389,58.006209999999996,58.47073,60.9376,58.12557000000001,58.29585000000001,58.77366,58.35389
58.35389,57.08135,58.47073,60.9376,58.12557000000001,58.29585000000001,57.08135,58.29585000000001
58.35389,57.08135,58.47073,60.9376,58.006209999999996,58.12557000000001,57.08135,58.29585000000001
57.08135,57.08135,58.47073,60.9376,58.006209999999996,58.12557000000001,57.08135,58.29585000000001
57.08135,57.08135,58.47073,60.9376,57.08135,58.006209999999996,57.08135,58.29585000000001
57.08135,57.08135,57.08135,60.9376,57.08135,58.006209999999996,57.08135,58.29585000000001
57.08135,57.08135,57.08135,60.9376,57.08135,58.006209999999996,57.08135,58.12557000000001
57.08135,57.08135,57.08135,60.9376,57.08135,58.006209999999996,57.08135,58.12557000000001
57.08135,57.08135,57.08135,60.9376,57.08135,58.006209999999996,57.08135,58.006209999999996
57.08135,57.08135,57.08135,60.9376,57.08135,57.08135,57.08135,58.006209999999996
57.08135,57.08135,57.08135,60.9376,57.08135,57.08135,57.08135,58.006209999999996
57.08135,57.08135,57.08135,60.9376,57.08135,57.08135,57.08135,58.006209999999996
57.08135,57.08135,57.08135,60.9376,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,60.9376,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,60.9376,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,60.9376,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,60.9376,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,60.34026,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,60.34026,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,60.34026,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,60.34026,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,60.34026,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135,57.08135
