Index,model,trial,R2_train,NNSE_train,MAPE_train,R2_test,NNSE_test,MAPE_test
59,EFO,trial8,0.536,0.6831,0.3686,0.2188,0.5614,0.4587
60,TLO,trial8,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
61,SMA,trial8,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
62,AAEO,trial8,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
63,RUN,trial8,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
64,GA,trial9,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
65,HGS,trial9,0.536,0.6831,0.3686,0.2188,0.5614,0.4587
66,ARO,trial9,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
67,EFO,trial9,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
68,TLO,trial9,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
69,SMA,trial9,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
70,AAEO,trial9,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
71,RUN,trial9,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
72,GA,trial10,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
73,HGS,trial10,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
74,ARO,trial10,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
75,EFO,trial10,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
76,TLO,trial10,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
77,SMA,trial10,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
78,AAEO,trial10,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
79,RUN,trial10,0.6259,0.7277,0.3085,0.3308,0.5991,0.4216
