model,trial,best_fitness
GA,1,57.08135
GA,2,57.08135
GA,3,57.08135
GA,4,57.08135
GA,5,57.08135
GA,6,57.08135
GA,7,57.08135
GA,8,57.08135
GA,9,57.08135
GA,10,57.08135
HGS,1,57.08135
HGS,2,58.006209999999996
HGS,3,57.08135
HGS,4,58.79243
HGS,5,58.006209999999996
HGS,6,57.08135
HGS,7,58.006209999999996
HGS,8,58.006209999999996
HGS,9,58.006209999999996
HGS,10,57.08135
ARO,1,57.08135
ARO,2,57.08135
ARO,3,57.08135
ARO,4,57.08135
ARO,5,57.08135
ARO,6,57.08135
ARO,7,57.08135
ARO,8,57.08135
ARO,9,57.08135
ARO,10,57.08135
EFO,1,58.006209999999996
EFO,2,58.006209999999996
EFO,3,57.08135
EFO,4,57.08135
EFO,5,57.08135
EFO,6,58.006209999999996
EFO,7,58.006209999999996
EFO,8,58.006209999999996
EFO,9,57.08135
EFO,10,57.08135
TLO,1,57.08135
TLO,2,57.08135
TLO,3,57.08135
TLO,4,57.08135
TLO,5,57.08135
TLO,6,57.08135
TLO,7,57.08135
TLO,8,57.08135
TLO,9,57.08135
TLO,10,57.08135
SMA,1,57.08135
SMA,2,57.08135
SMA,3,57.08135
SMA,4,57.08135
SMA,5,57.08135
SMA,6,57.08135
SMA,7,57.08135
SMA,8,57.08135
SMA,9,57.08135
SMA,10,57.08135
AAEO,1,58.006209999999996
AAEO,2,58.006209999999996
AAEO,3,57.08135
AAEO,4,57.08135
AAEO,5,57.08135
AAEO,6,57.08135
AAEO,7,57.08135
AAEO,8,57.08135
AAEO,9,57.08135
AAEO,10,57.08135
RUN,1,57.08135
RUN,2,57.08135
RUN,3,57.08135
RUN,4,57.08135
RUN,5,57.08135
RUN,6,57.08135
RUN,7,57.08135
RUN,8,57.08135
RUN,9,57.08135
RUN,10,57.08135
